file,mtime,watermark_text,verification_method,implied_checkpoint,implied_script
thesis_figures/webcam_demo_1.png,2026-05-17 17:44:38,"RHD Fine-tuned | Epoch 150 | 21 hand keypoints",visually read off image pixels,checkpoints/distilled_v2_ft_epoch_150.pth,webcam_demo_finetuned.py
thesis_figures/webcam_demo_2.png,2026-05-17 17:44:41,(not individually opened),inferred: same capture session as _1/_5/_8 (3s apart same run),checkpoints/distilled_v2_ft_epoch_150.pth (inferred),webcam_demo_finetuned.py (inferred)
thesis_figures/webcam_demo_3.png,2026-05-17 17:45:10,(not individually opened),inferred: same capture session as _1/_5/_8,checkpoints/distilled_v2_ft_epoch_150.pth (inferred),webcam_demo_finetuned.py (inferred)
thesis_figures/webcam_demo_4.png,2026-05-17 17:45:19,(not individually opened),inferred: same capture session as _1/_5/_8,checkpoints/distilled_v2_ft_epoch_150.pth (inferred),webcam_demo_finetuned.py (inferred)
thesis_figures/webcam_demo_5.png,2026-05-17 17:45:54,"RHD Fine-tuned | Epoch 150 | 21 hand keypoints",visually read off image pixels,checkpoints/distilled_v2_ft_epoch_150.pth,webcam_demo_finetuned.py
thesis_figures/webcam_demo_6.png,2026-05-17 17:46:10,(not individually opened),inferred: same capture session as _1/_5/_8,checkpoints/distilled_v2_ft_epoch_150.pth (inferred),webcam_demo_finetuned.py (inferred)
thesis_figures/webcam_demo_7.png,2026-05-17 17:46:58,(not individually opened),inferred: same capture session as _1/_5/_8,checkpoints/distilled_v2_ft_epoch_150.pth (inferred),webcam_demo_finetuned.py (inferred)
thesis_figures/webcam_demo_8.png,2026-05-17 17:47:17,"RHD Fine-tuned | Epoch 150 | 21 hand keypoints",visually read off image pixels,checkpoints/distilled_v2_ft_epoch_150.pth,webcam_demo_finetuned.py
paper/webcam_collage.png,2026-08-05 16:52:23,"conf 1.00 boxes; 6 panels; no bottom watermark visible (cropped out)",visual pose/background match against thesis_figures/webcam_demo_*.png; mtime reflects when paper/ dir was assembled, not capture time,checkpoints/distilled_v2_ft_epoch_150.pth (via source screenshots above),no assembly script found in repo (grep for 'collage' finds only the filename reference in paper/main.tex)
webcam_demo.py,2026-05-03 15:37:23,n/a (script file),file mtime,checkpoints/distilled_v2_epoch_100.pth (this script's own CHECKPOINT constant),loads epoch 100; no screenshots on disk are attributable to this script
webcam_demo_finetuned.py,2026-05-31 19:42:38,n/a (script file),"file mtime -- NOTE: this postdates the 2026-05-17 screenshots by 14 days, meaning either an earlier version of this script (since edited) produced them, or a since-renamed/deleted script did. The CURRENT script's CHECKPOINT constant matches the watermark text found in the screenshots either way.",checkpoints/distilled_v2_ft_epoch_150.pth (this script's own CHECKPOINT constant),n/a
