metric_name,model,table_or_figure,coordinate_space,source_script,source_line,git_commit_or_date_if_known
PCK@0.2/AUC/MPJPE/per-joint,Direct Sup. (ep.25),tab:trained (Table IV) / tab:perjoint (Table VII) / tab:full_per_joint (App. E),"GT-space in NAME ONLY -- gt_instances.keypoints is un-warped ORIGINAL-image-space, not the 256x256 crop space the model's output lives in; see ROOT-CAUSE rows below. True corrected GT-space PCK@0.2 for this checkpoint is 0.4248, not 0.7447.",directsup_gt_comprehensive_eval.py,"L49 gt_raw=batch['data_samples'][0].gt_instances.keypoints[0]; L57 dist=sc-gt_raw -> writes results_direct_sup_GT.txt",2026-06-22 13:20 (script) / 2026-05-12 15:41 (results_direct_sup_GT.txt)
PCK@0.2/AUC/MPJPE,Direct Sup. (ep.25),"consumed by scripts/make_tables.py (DIRECT_FILE constant), feeds tab:trained + tab:consolidated (Table VIII)",GT-space,scripts/make_tables.py,L56 DIRECT_FILE = ROOT / "results_direct_sup_GT.txt",2026-08-05 16:51
PCK@0.2/AUC/MPJPE (alt run, NOT used in paper),Direct Sup. (ep.25),n/a - alternate eval only,teacher-decoded-space,directsup_baseline.py / results_direct_sup_TC.txt,"header states 'Reference: Teacher (HRNetV2-W18 + DARK) decoded coordinates'; PCK=0.3378 vs GT-space PCK=0.7447 for the SAME checkpoint",2026-06-22 13:20 (script per README listing) - results_direct_sup_TC.txt file only, generating script not located in current tree
PCK@0.2/AUC/MPJPE/per-joint,Dist. V2-100,tab:trained (Table IV) / tab:perjoint (Table VII),teacher-decoded-space,experiments/v2_ep100_comprehensive_eval.py,"L22-26 loads teacher HRNetV2-W18+DARK; L56-62 tc=codec.decode(teacher heatmap); L67 dist=sc-tc -> writes experiments/results_v2_epoch100.txt (titled 'Full Evaluation', no reference stated)",2026-04-25 18:52 (script) / 2026-05-13 16:35 (results file)
PCK@0.2/AUC/MPJPE/per-joint (computed but NOT used in paper),Dist. V2-100,n/a - true GT-space eval exists but is unused,GT-space,experiments/v2_GT_comprehensive_eval.py,"L47 comment 'Raw GT reference -- same as direct supervision eval'; L48 gt_raw=batch['data_samples'][0].gt_instances.keypoints[0] -> writes experiments/results_v2_ep100_GT.txt (PCK=0.3367, vs the 0.7460 actually used in the paper)",2026-05-03 19:58 (script) / 2026-04-27 19:31 (results file)
PCK@0.2/AUC/MPJPE,Dist. V2-100,"consumed by scripts/make_tables.py (DIST100_FILE constant), feeds tab:trained + tab:consolidated (Table VIII)",teacher-decoded-space,scripts/make_tables.py,L57 DIST100_FILE = ROOT / "experiments" / "results_v2_epoch100.txt",2026-08-05 16:51
PCK@0.2/AUC/MPJPE/per-joint,FT V2-150,"tab:trained (Table IV) / tab:perjoint (Table VII) / tab:pretrain_ref (Table V, 'after distillation' row) / tab:full_per_joint (App. E)",teacher-decoded-space,experiments/v2_ft_ep150_comprehensive_eval.py,"L22-26 loads teacher HRNetV2-W18+DARK; L56-63 tc=clip(codec.decode(teacher heatmap),0,255); L68 dist=sc-tc -> writes results_distilled_v2_ft_epoch_150.txt (titled 'Full Evaluation', no reference stated)",2026-05-12 15:31 (script) / 2026-05-12 15:23 (results file)
PCK@0.2/AUC/MPJPE/per-joint (computed but NOT used in paper),FT V2-150,n/a - true GT-space eval exists but is unused,GT-space,experiments/distilled_v2_ft_ep150_gt_comprehensive_eval.py,"L39 print('Reference: Ground Truth annotations'); L46-48 gc=batch['data_samples'][0].gt_instances.keypoints -> writes results_distilled_v2_ft_epoch_150_gt.txt (PCK=0.3374, vs the 0.7479 actually used in the paper)",2026-05-05 12:55 (script) / 2026-05-05 13:07 (results file)
PCK@0.2/AUC/MPJPE,FT V2-150,"consumed by scripts/make_tables.py (FT150_FILE constant), feeds tab:trained + tab:pretrain_ref + tab:consolidated (Table VIII)",teacher-decoded-space,scripts/make_tables.py,L58 FT150_FILE = ROOT / "results_distilled_v2_ft_epoch_150.txt",2026-08-05 16:51
Det.Rate,"Direct Sup. / Dist.V2-100 / FT V2-150","tab:trained, tab:consolidated","n/a (hand_flag>=0.5, criterion is space-independent)",directsup_gt_comprehensive_eval.py / v2_ep100_comprehensive_eval.py / v2_ft_ep150_comprehensive_eval.py,"det=(flags>=0.5).mean()*100 in each script; consistent criterion across all three (BlazeHandLandmark hand_flag head)",see above
PCK@0.2/AUC/MPJPE,Teacher (HRNetV2-W18),"tab:trained (Table IV footnote a) / tab:consolidated (Table VIII footnote b)",external constant (own protocol, but hardcoded not re-parsed),scripts/make_tables.py,"L69 TEACHER_PCK,TEACHER_AUC,TEACHER_MPJPE = Decimal('0.992'),Decimal('0.902'),Decimal('2.21') -- comment at L62-68 labels these 'external / non-reproducible reference constants ... official MMPose benchmark'",2026-08-05 16:51
PCK@0.2/AUC/MPJPE (source of the hardcoded constant above -- own pipeline, NOT a literature citation),Teacher (HRNetV2-W18),corroborating own-protocol run,GT-space (mmpose official Runner+Hook, bbox-relative PCK threshold -- see note),teacher_comprehensive_eval.py,"L114-116 runner=Runner.from_cfg(cfg); runner.test() (same harness as mmpose tools/test.py); L130 thr_j=bbox_arr[mask]*0.2 (threshold is 0.2x the per-sample GT bbox size, NOT a fixed 51.2px like every other model's eval script) -> eval_results/teacher_comprehensive/20260512_145302/20260512_145302.json: PCK=0.99176,AUC=0.90225,EPE=2.18265 (matches paper's 0.992/0.902/2.21)",2026-06-18 18:24 (script) / 2026-05-12 14:53:02 (json log, reused for results/table_iv_teacher_own_protocol.csv -- see results/README.md)
MPJPE (diagnostic -- NOT used in paper; shown broken),Teacher (HRNetV2-W18),n/a - coordinate-space bug diagnostic only,BROKEN: raw 256-crop-space heatmap decode compared against a GT reference in a different space (missing inverse-affine),experiments/teacher_gt_comprehensive_eval.py,"produces results_teacher_gt.txt: MPJPE=83.2156px, PCK@0.2=0.2849 -- reproduces the '~83px broken number' that scripts/teacher_target_sanity.py (L17-18, L186-193) explicitly diagnoses as a missing TopdownPoseEstimator-style inverse-affine step, not a real teacher error (true inverse-affined error is ~2-3px)",2026-05-07 12:06 (script) / 2026-05-07 12:20 (results file)
Det.Rate,Teacher (HRNetV2-W18),"tab:trained, tab:consolidated (both report 100%)",undefined for this architecture,results_teacher_gt.txt,"'Det Rate: 100.00%' -- HRNet has no hand-presence/confidence head; hand_flag>=0.5 criterion (Appendix D) only exists on BlazeHandLandmark-family models. verify_paper.py flags this explicitly.",2026-05-07 12:20
PCK@0.2/AUC/MPJPE/Det.Rate,Untrained BlazeHandLandmark (random init.),tab:pretrain_ref (Table V),hardcoded constant; no traceable source file in current repo,scripts/make_tables.py,"L75-76 UNTRAINED=dict(pck=Decimal('0.005'),auc=Decimal('0.025'),mpjpe=Decimal('186.96'),det=Decimal('100')); comment L71-72: '500-sample legacy run (vs. GT), reference source file not present in this repo snapshot'",2026-08-05 16:51
